	Error_type	File	Next_position	Previous_positions	Real_position	Supposed_position
0	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per6.txt.gz	57700	57171	57389	8237
1	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per6.txt.gz	5391	5274	5340	1244
2	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per6.txt.gz	25514	25417	25476	900
3	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per6.txt.gz	30481	30393	30429	5853
4	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per6.txt.gz	6985	6858	6940	796
5	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per6.txt.gz	9154	9077	9116	924
6	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per6.txt.gz	50428	50112	50357	1205
7	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per4.txt.gz	83351	83213	83312	17776
8	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per4.txt.gz	105719	105141	105445	7141
9	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per4.txt.gz	78611	78054	78316	12780
10	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per4.txt.gz	55569	55121	55391	6239
11	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per4.txt.gz	24428	24309	24381	7997
12	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per4.txt.gz	3230	2891	3178	106
13	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per4.txt.gz	73086	72965	73044	7508
14	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/3/per4.txt.gz	74827	74717	74758	9222
